,CB,DE,DT,FB,FS,ILB,LS,OG,OLB,OT,P,QB,RB,SS,TE,WR
CB,126,0,0,0,0,0,0,0,0,0,0,1,10,0,0,73
DE,0,112,8,0,0,2,0,0,6,3,0,2,0,0,24,0
DT,0,10,99,0,0,0,0,19,0,17,0,0,0,0,0,0
FB,0,4,0,7,0,8,0,0,10,0,0,0,5,0,0,0
FS,19,0,0,0,2,0,0,0,0,0,0,2,9,1,0,42
ILB,0,5,0,3,0,30,0,0,42,0,1,2,7,0,6,0
LS,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0
OG,0,1,30,0,0,0,0,56,0,24,0,0,0,0,0,0
OLB,0,13,0,5,0,13,0,0,72,0,0,5,14,1,10,6
OT,0,4,10,0,0,0,0,29,0,106,0,0,0,0,0,0
P,0,1,0,0,0,0,0,0,1,0,12,9,1,0,1,6
QB,0,0,0,1,0,1,0,0,7,0,1,81,2,0,3,13
RB,10,0,0,3,0,2,0,0,9,0,0,0,107,1,0,15
SS,5,0,0,0,0,0,0,0,1,0,0,1,24,6,0,35
TE,0,17,1,0,0,2,0,0,9,0,0,1,0,0,63,2
WR,77,0,0,0,1,0,0,0,1,0,0,6,11,2,3,184
