,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_min_samples_leaf,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.020832538604736328,0.0,0.4491525423728814,1.0,gini,1,"{'criterion': 'gini', 'min_samples_leaf': 1}",11,0.4568487727632621,1.0,0.44638602065131056,1.0,0.44417862838915473,1.0,0.007364065959860701,0.0,0.005529908060215334,0.0
1,0.015625397364298504,0.0,0.4870233050847458,0.7127873303239056,gini,6,"{'criterion': 'gini', 'min_samples_leaf': 6}",10,0.47901821060965954,0.7079188221249503,0.48610007942811756,0.7155343663090982,0.4960127591706539,0.7149088025376685,8.342000752606472e-06,0.0,0.006968151331950792,0.0034520150222252465
2,0.014669179916381836,0.001998265584309896,0.5145656779661016,0.6481655699237977,gini,11,"{'criterion': 'gini', 'min_samples_leaf': 11}",7,0.5122723673792557,0.6418623159570235,0.5186656076250993,0.6487882399682161,0.5127591706539075,0.6538461538461539,0.0006917427640046061,0.001412987145277226,0.0029064654282842163,0.004912153711384387
3,0.013329505920410156,0.0019986629486083984,0.5235699152542372,0.6194365361543582,gini,16,"{'criterion': 'gini', 'min_samples_leaf': 16}",4,0.5193982581155978,0.6179864703541583,0.52263701350278,0.6189908621374652,0.5287081339712919,0.6213322759714512,0.0004787921565179655,0.0,0.0038573124892900246,0.0014018018890407657
4,0.012662490208943685,0.002330938975016276,0.5233050847457628,0.5999750319277058,gini,21,"{'criterion': 'gini', 'min_samples_leaf': 21}",5,0.5233570863024545,0.6032630322323915,0.5250198570293884,0.5963448549860946,0.5215311004784688,0.6003172085646312,0.0004733300512152376,0.0004726092271913211,0.00142352711939812,0.0028346790225042442
5,0.011991739273071289,0.0019964377085367837,0.5240995762711864,0.5868549548802352,gini,26,"{'criterion': 'gini', 'min_samples_leaf': 26}",3,0.5241488519398259,0.5813768404297652,0.528196981731533,0.5824394119984108,0.5199362041467305,0.5967486122125297,1.3626756826625067e-05,2.6856653290932654e-06,0.003369718820956733,0.007009308389148049
6,0.027320146560668945,0.0019988218943277993,0.4465042372881356,1.0,entropy,1,"{'criterion': 'entropy', 'min_samples_leaf': 1}",12,0.4410134600158353,1.0,0.4567116759332804,1.0,0.44178628389154706,1.0,0.0009437522519330372,4.49566384116203e-07,0.007226072778563566,0.0
7,0.01964704195658366,0.001997868220011393,0.4952330508474576,0.7117300314842786,entropy,6,"{'criterion': 'entropy', 'min_samples_leaf': 6}",9,0.4996041171813143,0.7134898527656188,0.49404289118347894,0.7056019070321812,0.4920255183413078,0.7160983346550357,0.0009379712208352099,1.8399297241831183e-06,0.0032061906061506495,0.0044621725961799825
8,0.01732977231343587,0.001992940902709961,0.5074152542372882,0.6452491491461427,entropy,11,"{'criterion': 'entropy', 'min_samples_leaf': 11}",8,0.5098970704671417,0.6358933545563072,0.505957108816521,0.646404449741756,0.5063795853269537,0.6534496431403648,0.0009559489052862691,7.92898614326281e-06,0.0017678614012384681,0.007213730279189624
9,0.01441208521525065,0.0016595522562662761,0.5272775423728814,0.6144051845774062,entropy,16,"{'criterion': 'entropy', 'min_samples_leaf': 16}",2,0.5296912114014252,0.6136092319936332,0.5186656076250993,0.6134286849423918,0.5334928229665071,0.6161776367961935,0.002231872619572132,0.0012399832897634422,0.00628536408041393,0.0012554785170978188
10,0.010421832402547201,0.005206505457560222,0.5288665254237288,0.5949367353557767,entropy,21,"{'criterion': 'entropy', 'min_samples_leaf': 21}",1,0.5257323832145685,0.5917230401910067,0.5305798252581414,0.5931664680174811,0.5303030303030303,0.5999206978588422,0.0073693527924174,0.007363110630651201,0.002224764749074857,0.0035731202654013137
11,0.015625874201456707,0.0,0.522510593220339,0.5814298216659971,entropy,26,"{'criterion': 'entropy', 'min_samples_leaf': 26}",6,0.5241488519398259,0.5762037405491445,0.5250198570293884,0.5824394119984108,0.518341307814992,0.5856463124504362,2.7690333350792484e-06,0.0,0.0029614014360914752,0.003920458774790118
